% Model:              Kundt's Tube Simulation.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 9 2026, 15:57
% Dimension:          2
% Nodes:              354
% Expressions:        1
% Description:        Acoustic pressure
% Length unit:        m
% R                       Z                        p (Pa) @ freq=400
0.03360719814017718       0.16920833623947698      -10.879791704132797i
0.04182213038516938       0.16264411059185796      -10.860381834125441i
0.05                      0.15600000000000006      -10.815185971249733i
0.008459499734884147      0.19853230018967138      -10.660248969895441i
0                         0.2039999999999999       -10.564470343657648i
0.016858164152927967      0.1928333142636449       -10.74188942404261i
0.025220845190876914      0.1869704213026336       -10.80635563606014i
0.033551692166985954      0.1809685113880766       -10.851719260460277i
0.04182660684489545       0.17469952563721308      -10.876721071094606i
0.05                      0.16800000000000007      -10.878105763491325i
0.0084737434268497        0.21052524113027626      -10.428016914032055i
0                         0.21599999999999986      -10.295150444117521i
0.016872738732416723      0.20482610478513905      -10.54852267337683i
0.02523829987693454       0.1989939126766327       -10.652821371748068i
0.033575982675189846      0.19306009450296113      -10.738997272092385i
0.04180852679731665       0.18662832067336163      -10.809503281157587i
0.05                      0.18000000000000008      -10.857077186614406i
0.008488376862877706      0.2225223092608124       -10.115283327349802i
0                         0.2279999999999999       -9.94638094340065i
0.01689141510812565       0.21682316344535582      -10.273736705087638i
0.025260613949425182      0.21100006177569144      -10.417154463213988i
0.03361843988923806       0.20515054094569316      -10.542153776622728i
0.04182619711876054       0.19867352469223964      -10.657989578054996i
0.05                      0.1920000000000001       -10.752262505376216i
0.008497695609137833      0.23452463630274384      -9.724338337383683i
0                         0.23999999999999988      -9.520853352550283i
0.016906708747564912      0.2288235208547996       -9.919597239930383i
0.025283997455417234      0.22301150779313736      -10.100857131216685i
0.03364408000076184       0.21712429887821377      -10.265809743548076i
0.041853644098430315      0.21071736079958295      -10.423636985804793i
0.05                      0.2040000000000001       -10.564470614577278i
0.008500781164574343      0.24652973652990157      -9.258203582733458i
0                         0.2519999999999999       -9.021851532009284i
0.016916330687249185      0.24082911138109928      -9.488697741535537i
0.025298194554956147      0.23502772944897773      -9.706288934889876i
0.033681342652519056      0.22918927229652392      -9.907585934675867i
0.041887059797685894      0.22273613450340726      -10.108993681846231i
0.05                      0.2160000000000001       -10.295150706830835i
0.008495248656806755      0.25852393709763033      -8.721080219289432i
0                         0.26399999999999985      -8.453226374307837i
0.016919573549088247      0.25283046700219786      -8.984694207911323i
0.025292114993228684      0.24699035155778645      -9.23886970962632i
0.03368705430725766       0.24125277679851198      -9.472130797389525i
0.04188090579709942       0.2347388955368818       -9.716667445654904i
0.05                      0.22800000000000012      -9.946381199409633i
0.008488593945202273      0.2705177220167          -8.116741656286862i
0                         0.27599999999999986      -7.819366090057511i
0.016914200292680946      0.26481142893802484      -8.412369314562582i
0.0252887577869542        0.25896014584511823      -8.700252369891565i
0.033623027650047405      0.2529835508079097       -8.977809240880417i
0.04186206245267304       0.2466730634365515       -9.25219911024198i
0.05                      0.24000000000000007      -9.520853610756186i
0.00848945272229165       0.28250109824258063      -7.450433980398472i
0                         0.2879999999999998       -7.125162271688192i
0.01691222475718018       0.2767987564538424       -7.774975456488282i
0.025300721683716353      0.27098638837369327      -8.09182438840444i
0.03364507921529009       0.2650398890504388       -8.400811992200303i
0.041876968594496335      0.25871120767377637      -8.712148971025742i
0.05                      0.25200000000000017      -9.021851694070389i
0.0084801110440406        0.2944694499474149       -6.727730292856111i
0                         0.2999999999999998       -6.375972203261057i
0.016922390180046723      0.28881820320255225      -7.075762922270681i
0.025293595843119188      0.2829477558549736       -7.424457339234864i
